image_id,image_name
e21ba2ac-0d6b-47f2-abe7-662f48a1cb40,http://ec2-54-165-213-86.compute-1.amazonaws.com:9000/clothes/jacket-dc-3.jpg
27004def-4503-4ad2-b89f-f3da8626b224,http://ec2-54-165-213-86.compute-1.amazonaws.com:9000/clothes/jacket-dc-4.jpg
b635bb87-192c-4081-93a5-3f7612ceeb61,http://ec2-54-165-213-86.compute-1.amazonaws.com:9000/clothes/jacket-salomon1.jpg
16057784-8018-4f60-b4a2-9170fb6fd28c,http://ec2-54-165-213-86.compute-1.amazonaws.com:9000/clothes/jacket-roxy1.jpg
0ea18746-b79b-4616-bd32-10024f9ee5cb,http://ec2-54-165-213-86.compute-1.amazonaws.com:9000/clothes/jacket-roxy2.jpg
83ebc808-0118-4607-8eb0-2d77f0fc2e01,http://ec2-54-165-213-86.compute-1.amazonaws.com:9000/clothes/jacket-roxy3.jpg
62c3285e-b482-4cce-89b4-5fbd1ce524f6,http://ec2-54-165-213-86.compute-1.amazonaws.com:9000/clothes/jacket-quiksilver1.jpg
922e2035-6510-443b-8bab-b908b5a0c398,http://ec2-54-165-213-86.compute-1.amazonaws.com:9000/clothes/jacket-quiksilver2.jpg
bdc9ce03-bdda-4a7a-9abe-764f43326c9c,http://ec2-54-165-213-86.compute-1.amazonaws.com:9000/clothes/jacket-quiksilver3.jpg
6ff16241-c46a-4d88-8bdf-85e41bf4151d,http://ec2-54-165-213-86.compute-1.amazonaws.com:9000/clothes/jacket-dc-1.jpg
10ce36e2-0641-49b1-bbbd-ac4212d58953,http://ec2-54-165-213-86.compute-1.amazonaws.com:9000/clothes/jacket-dc-2.jpg
d35f2f7f-cad5-4d91-816d-ea540aa7aedb,http://ec2-54-165-213-86.compute-1.amazonaws.com:9000/clothes/jacket-burton1.jpg
432cdafc-9fb9-474b-b122-9a42c3f41ec7,http://ec2-54-165-213-86.compute-1.amazonaws.com:9000/clothes/jacket-burton2.jpg
7a5c3bb7-63ec-41d5-80fe-870f56fe4e5c,http://ec2-54-165-213-86.compute-1.amazonaws.com:9000/clothes/jacket-burton3.jpg
4c4d9dfd-a781-4550-a014-c094f266d852,http://ec2-54-165-213-86.compute-1.amazonaws.com:9000/clothes/jacket-burton4.jpg
a52cfc15-a68d-4735-8520-690dd6f2013a,http://ec2-54-165-213-86.compute-1.amazonaws.com:9000/clothes/pants-quiksilver1.jpg
703a6109-3202-4025-bc5a-c7627ee44ab3,http://ec2-54-165-213-86.compute-1.amazonaws.com:9000/clothes/pants-quiksilver2.jpg
a852f3ab-45c1-4619-8513-6998dfa250cc,http://ec2-54-165-213-86.compute-1.amazonaws.com:9000/clothes/pants-quiksilver3.jpg
3d619ba4-31e3-45c5-8e2c-6d5450da4a4b,http://ec2-54-165-213-86.compute-1.amazonaws.com:9000/clothes/pants-roxy1.jpg
cb82e62d-d02a-4cf8-a7b1-3401a05caa66,http://ec2-54-165-213-86.compute-1.amazonaws.com:9000/clothes/pants-roxy2.jpg
4be0aaa3-11a4-4071-8a7d-bb0be91db200,http://ec2-54-165-213-86.compute-1.amazonaws.com:9000/clothes/pants-roxy3.jpg
89265939-8169-470d-bdb4-d2cf6260962b,http://ec2-54-165-213-86.compute-1.amazonaws.com:9000/clothes/pants-burton6.jpg
